Component #1,Component #2,Component #3,x1,x2,x3,T_melting /K
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.25,0.75,-,241.15
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.25,0.75,-,241.36
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.398,0.602,-,241.63
ZINCCHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,242.02
BETA-(DIETHYLAMINO)ETHYL ALCOHOL HYDROCHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,242.15
RANITIDINE,UREA,-,0.67,0.33,-,242.15
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,242.27
THYMOL,L-MENTHOL,-,0.401,0.599,-,242.55
CHOLINE CHLORIDE,TRIFLUOROACETAMIDE,-,0.33,0.67,-,243.0
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,243.02
CHOLINE CHLORIDE,TRIFLUOROACETAMIDE,-,0.333,0.667,-,243.14
CARVACROL,L-MENTHOL,-,0.58,0.42,-,243.3
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.307,0.693,-,243.525
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.167,0.833,-,243.525
CARVACROL,L-MENTHOL,-,0.694,0.306,-,243.55
CARVACROL,L-MENTHOL,-,0.504,0.496,-,244.05
CARVACROL,L-MENTHOL,-,0.602,0.398,-,244.25
CAMPHOR,THYMOL,-,0.679,0.321,-,244.702
BENZYLTRIPROPYLAMMONIUM CHLORIDE,LACTIC ACID,-,0.496,0.504,-,244.961
LIDOCAINE,IBUPROFEN,-,0.5,0.5,-,246.15
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),LEVULINIC ACID,-,0.186,0.814,-,246.377
BETAINE,GLYCOLIC ACID,-,0.3,0.7,-,246.38
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.303,0.697,-,247.577
THYMOL,L-MENTHOL,-,0.5,0.5,-,247.95
TETRABUTYLAMMONIUM BROMIDE,ETHYLENE GLYCOL,-,0.33,0.67,-,248.22
TETRABUTYLAMMONIUM BROMIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,248.22
BETAINE,GLYCOLIC ACID,-,0.4,0.6,-,248.31
ZINCCHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,248.42
ZINCCHLORIDE,ETHYLENE GLYCOL,-,0.167,0.833,-,248.72
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.28,0.72,-,249.07
TETRABUTYLAMMONIUM BROMIDE,GLYCEROL,-,0.2,0.8,-,249.09
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.067,0.933,-,249.39
CHOLINE CHLORIDE,O-CRESOL,-,0.25,0.75,-,249.4
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.184,0.816,-,249.559
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.572,0.428,-,249.568
TETRAPROPYLAMMONIUM BROMIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,249.75
TETRAPROPYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,249.75
ETHYLAMMONIUM CHLORIDE,ASPIRIN,-,0.67,0.33,-,250.15
CHOLINE CHLORIDE,O-CRESOL,-,0.203,0.797,-,250.3
BETA-(DIETHYLAMINO)ETHYL ALCOHOL HYDROCHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,250.9
TETRABUTYLAMMONIUM BROMIDE,OXALIC ACID,-,0.5,0.5,-,250.99
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.177,0.823,-,251.079
CHOLINE CHLORIDE,GLYCEROL,-,0.198,0.802,-,251.081
CAMPHOR,THYMOL,-,0.756,0.244,-,251.167
CHOLINE CHLORIDE,O-CRESOL,-,0.166,0.834,-,251.4
BETA-(DIETHYLAMINO)ETHYL ALCOHOL HYDROCHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,251.48
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.167,0.833,-,251.6
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.16,0.84,-,251.6
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.277,0.723,-,252.59
BUTYLTRIMETHYLAMMONIUM CHLORIDE,BUTYRIC ACID,-,0.25,0.75,-,252.94
CHOLINE CHLORIDE,PHENOL,-,0.25,0.75,-,253.1
DIDODECYLDIMETHYLAMMONIUM CHLORIDE,THYMOL,-,0.333,0.667,-,253.15
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.104,0.896,-,253.524
ALLYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.091,0.909,-,253.63
TETRAPROPYLAMMONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.25,0.75,-,253.95
TETRABUTYLAMMONIUM BROMIDE,PROPIONIC ACID,-,0.5,0.5,-,254.01
TETRABUTYLAMMONIUM HYDROGEN SULFATE,BENZILIC ACID,-,0.5,0.5,-,254.09
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.2,0.8,-,254.3
L-CARNITINE,1.1.1.3.3.3-HEXAFLUORO-2-PROPANOL,-,0.333,0.667,-,254.45
TETRABUTYLAMMONIUM BROMIDE,ACETIC ACID,-,0.5,0.5,-,254.7
TETRABUTYLAMMONIUM BROMIDE,MALONIC ACID,-,0.5,0.5,-,255.17
BUTYLTRIMETHYLAMMONIUM CHLORIDE,BUTYRIC ACID,-,0.333,0.667,-,255.19
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,255.23
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.2,0.8,-,255.45
CHOLINE CHLORIDE,PHENOL,-,0.167,0.833,-,255.6
TETRAPROPYLAMMONIUM BROMIDE,ETHYLENE GLYCOL,-,0.167,0.833,-,255.65
TETRAPROPYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.167,0.833,-,255.65
L-CARNITINE,1.1.1.3.3.3-HEXAFLUORO-2-PROPANOL,-,0.25,0.75,-,255.95
TETRABUTYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,256.31
ZINCCHLORIDE,ETHYLENE GLYCOL,-,0.143,0.857,-,256.45
TETRAHEPTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,256.5
TETRAHEPTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.33,0.67,-,256.5
TETRAPROPYLAMMONIUM BROMIDE,GLYCEROL,-,0.25,0.75,-,257.05
CHOLINE CHLORIDE,BENZILIC ACID,-,0.5,0.5,-,257.09
ZINCCHLORIDE,ACETAMIDE,-,0.2,0.8,-,257.15
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.167,0.833,-,257.6
THYMOL,1-DECANOL,-,0.667,0.333,-,257.91
BETAINE,GLYCOLIC ACID,-,0.5,0.5,-,257.99
TETRAPROPYLAMMONIUM BROMIDE,GLYCEROL,-,0.333,0.667,-,258.15
BETAINE,THYMOL,-,0.25,0.75,-,258.15
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.143,0.857,-,258.77
ACETYLCHOLINE CHLORIDE,UREA,-,0.67,0.33,-,259.15
ACETYLCHOLINE CHLORIDE,UREA,-,0.333,0.667,-,259.15
THYMOL,L-MENTHOL,-,0.354,0.646,-,259.498
CAMPHOR,THYMOL,-,0.826,0.174,-,259.788
TETRAPROPYLAMMONIUM BROMIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,259.85
TETRAPROPYLAMMONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,259.85
BUTYLTRIMETHYLAMMONIUM CHLORIDE,BUTYRIC ACID,-,0.2,0.8,-,260.0
THYMOL,L-MENTHOL,-,0.549,0.451,-,260.022
EUCALYPTOL,IBUPROFEN,-,0.6,0.4,-,260.15
CHOLINE CHLORIDE,PHENOL,-,0.2,0.8,-,260.2
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.75,0.25,-,260.46
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.167,0.833,-,260.46
TETRAPROPYLAMMONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.286,0.714,-,261.15
METHYLTRIOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,261.2
TETRABUTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,261.2
TETRABUTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.33,0.67,-,261.2
CHOLINE CHLORIDE,1.4-BUTANEDIOL,-,0.34,0.66,-,261.71
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.25,0.75,-,262.0
TETRAETHYLAMMONIUM BROMIDE,BENZILIC ACID,-,0.5,0.5,-,262.09
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.5,0.5,-,262.1
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.5,0.5,-,262.12
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.5,0.5,-,262.15
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,262.28
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.2,0.8,-,263.0
CARVACROL,L-MENTHOL,-,0.8,0.2,-,263.05
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.579,0.421,-,263.165
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.184,0.816,-,263.165
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.119,0.881,-,263.165
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.167,0.833,-,263.2
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.8,0.2,-,263.54
TETRAPROPYLAMMONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.2,0.8,-,263.55
THYMOL,L-MENTHOL,-,0.352,0.648,-,263.9
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.2,0.8,-,263.96
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.5,0.5,-,264.22
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.244,0.756,-,264.676
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIETHYLENE GLYCOL,-,0.25,0.75,-,264.9
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.25,0.75,-,265.15
CHOLINE CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,265.19
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,265.34
THYMOL,L-MENTHOL,-,0.537,0.463,-,265.4
TETRAPROPYLAMMONIUM BROMIDE,BENZILIC ACID,-,0.5,0.5,-,265.61
DIDODECYLDIMETHYLAMMONIUM CHLORIDE,PHENYLACETIC ACID,-,0.333,0.667,-,266.15
BETAINE,PHENYLACETIC ACID,-,0.333,0.667,-,266.15
CARVACROL,L-MENTHOL,-,0.401,0.599,-,266.25
L-MENTHOL,OCTANOIC ACID,-,0.494,0.506,-,266.75
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,267.0
N-BENZYL-2-HYDROXY-N-(2-HYDROXYETHYL)-N-METHYLETHAN-1-AMINIUM CHLORIDE,UREA,-,0.333,0.667,-,267.15
BUTYLTRIMETHYLAMMONIUM CHLORIDE,HEXANOIC ACID,-,0.2,0.8,-,267.44
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.25,0.75,-,267.6
BUTYLTRIMETHYLAMMONIUM CHLORIDE,HEXANOIC ACID,-,0.333,0.667,-,267.7
BUTYLTRIMETHYLAMMONIUM CHLORIDE,HEXANOIC ACID,-,0.25,0.75,-,267.79
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.4,0.6,-,267.91
TETRAPROPYLAMMONIUM BROMIDE,GLYCEROL,-,0.2,0.8,-,268.45
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.364,0.636,-,269.12
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.111,0.889,-,269.37
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,269.73
THYMOL,L-MENTHOL,-,0.301,0.699,-,269.9
CHOLINE CHLORIDE,TRIFLUOROACETAMIDE,-,0.36,0.64,-,270.0
CARVACROL,L-MENTHOL,-,0.9,0.1,-,270.05
THYMOL,L-MENTHOL,-,0.301,0.699,-,271.8
BETA-(DIETHYLAMINO)ETHYL ALCOHOL HYDROCHLORIDE,GLYCEROL,-,0.333,0.667,-,271.82
THYMOL,L-MENTHOL,-,0.62,0.38,-,272.011
BENZYLTRIMETHYLAMMONIUM CHLORIDE,P-TOLUENESULFONIC ACID,-,0.7,0.3,-,272.15
THYMOL,L-MENTHOL,-,0.3,0.7,-,272.4
OLEIC ACID,MENTHOL,-,0.5,0.5,-,272.64
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHANOLAMINE,-,0.111,0.889,-,272.72
DECANOIC ACID,OLEIC ACID,-,0.4,0.6,-,272.78
L-MENTHOL,CYCLOHEXYLACETIC ACID,-,0.45,0.55,-,272.9
BETA-(DIETHYLAMINO)ETHYL ALCOHOL HYDROCHLORIDE,TRIETHYLENE GLYCOL,-,0.333,0.667,-,273.05
METHYLTRIOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.33,0.67,-,273.1
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.333,0.667,-,273.15
BETA-(DIETHYLAMINO)ETHYL ALCOHOL HYDROCHLORIDE,TRIETHYLENE GLYCOL,-,0.67,0.33,-,273.15
POTASSIUM THIOCYANATE,AZEPAN-2-ONE,-,0.25,0.75,-,273.15
CHOLINE CHLORIDE,3.4-DIMETHYLPHENOL,-,0.33,0.67,-,273.16
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.3,0.7,-,273.434
TETRABUTYLAMMONIUM BROMIDE,ETHANOLAMINE,-,0.143,0.857,-,273.58
CHOLINE CHLORIDE,TRIETHYLENE GLYCOL,-,0.25,0.75,-,273.65
TETRABUTYLAMMONIUM BROMIDE,OCTANOIC ACID,-,0.333,0.667,-,273.73
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.593,0.407,-,273.741
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.095,0.905,-,273.741
L-MENTHOL,OCTANOIC ACID,-,0.4,0.6,-,274.0
BETA-(DIETHYLAMINO)ETHYL ALCOHOL HYDROCHLORIDE,GLYCEROL,-,0.25,0.75,-,274.85
THYMOL,OCTANOIC ACID,-,0.41,0.59,-,274.98
THYMOL,OCTANOIC ACID,-,0.35,0.65,-,275.0
TETRABUTYLAMMONIUM BROMIDE,OLEIC ACID,-,0.333,0.667,-,275.01
TETRAOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,275.1
TETRAOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.33,0.67,-,275.1
BETA-(DIETHYLAMINO)ETHYL ALCOHOL HYDROCHLORIDE,GLYCEROL,-,0.2,0.8,-,275.15
BENZYLTRIMETHYLAMMONIUM CHLORIDE,OXALIC ACID,-,0.5,0.5,-,275.15
BENZYLTRIETHYLAMMONIUM CHLORIDE,P-TOLUENESULFONIC ACID,-,0.7,0.3,-,275.15
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),LEVULINIC ACID,-,0.103,0.897,-,275.362
THYMOL,OCTANOIC ACID,-,0.3,0.7,-,275.45
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.6,0.4,-,275.455
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.4,0.6,-,275.48
TETRABUTYLAMMONIUM CHLORIDE,TRIETHYLENE GLYCOL,-,0.667,0.333,-,275.57
CALCIUMCHLORIDEHEXAHYDRATE,CHOLINE CHLORIDE,-,0.66,0.34,-,275.85
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,276.0
ZINCCHLORIDE,UREA,-,0.225,0.775,-,276.15
L-MENTHOL,OCTANOIC ACID,-,0.598,0.402,-,276.4
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.125,0.875,-,276.69
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.143,0.857,-,276.84
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.333,0.667,-,276.9
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.167,0.833,-,276.95
L-MENTHOL,OCTANOIC ACID,-,0.596,0.404,-,277.15
L-MENTHOL,CYCLOHEXANECARBOXYLIC ACID,-,0.6,0.4,-,277.25
DECANOIC ACID,OLEIC ACID,-,0.3,0.7,-,277.48
THYMOL,CYCLOHEXANECARBOXYLIC ACID,-,0.29,0.71,-,277.6
THYMOL,L-MENTHOL,-,0.601,0.399,-,277.8
L-MENTHOL,DECANOIC ACID,-,0.596,0.404,-,278.1
CHOLINE CHLORIDE,LEVULINIC ACID,-,0.333,0.667,-,278.15
AMMONIUM THIOCYANATE,ACETAMIDE,-,0.25,0.75,-,278.15
DIDODECYLDIMETHYLAMMONIUM CHLORIDE,GLYCOLIC ACID,-,0.25,0.75,-,278.15
BENZYLTRIETHYLAMMONIUM CHLORIDE,OXALIC ACID,-,0.5,0.5,-,278.15
POTASSIUM THIOCYANATE,ACETAMIDE,-,0.25,0.75,-,278.15
CHOLINE CHLORIDE,ETHANOLAMINE,-,0.111,0.889,-,278.23
THYMOL,L-MENTHOL,-,0.602,0.398,-,278.3
THYMOL,L-MENTHOL,-,0.602,0.398,-,278.55
L-MENTHOL,3-CYCLOHEXYLPROPANOIC ACID,-,0.2,0.8,-,278.687
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,279.0
