Component #1,Component #2,Component #3,x1,x2,x3,T /K,Viscosity /cP
L-LYSINE,HEXANOIC ACID,-,0.333,0.667,-,308.15,0.5
L-HISTIDINE,HEXANOIC ACID,-,0.333,0.667,-,313.15,0.5
L-ALANINE,LAURIC ACID,-,0.333,0.667,-,318.15,0.5
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.4,0.6,-,353.15,0.56
L-CYSTINE,HEXANOIC ACID,-,0.333,0.667,-,318.15,0.6
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,318.15,0.6
L-LYSINE,DECANOIC ACID,-,0.333,0.667,-,313.15,0.6
L-CYSTINE,LAURIC ACID,-,0.333,0.667,-,318.15,0.6
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.333,0.667,-,333.15,0.65
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,313.15,0.7
L-HISTIDINE,OXALIC ACID,-,0.333,0.667,-,313.15,0.7
L-CYSTINE,DECANOIC ACID,-,0.333,0.667,-,318.15,0.7
ETHYLAMMONIUM CHLORIDE,TRIETHYLENETETRAMINE,-,0.5,0.5,-,313.15,0.728
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.4,0.6,-,343.15,0.78
L-ALANINE,OXALIC ACID,-,0.333,0.667,-,313.15,0.8
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,313.15,0.8
L-LYSINE,LAURIC ACID,-,0.333,0.667,-,313.15,0.8
L-ALANINE,DECANOIC ACID,-,0.333,0.667,-,313.15,0.9
L-LYSINE,DECANOIC ACID,-,0.333,0.667,-,323.15,0.95
L-HISTIDINE,LAURIC ACID,-,0.333,0.667,-,313.15,1.0
L-CYSTINE,HEXANOIC ACID,-,0.333,0.667,-,313.15,1.1
L-LYSINE,OXALIC ACID,-,0.333,0.667,-,313.15,1.1
L-ALANINE,LAURIC ACID,-,0.333,0.667,-,313.15,1.1
L-LYSINE,HEXANOIC ACID,-,0.333,0.667,-,303.15,1.2
L-HISTIDINE,HEXANOIC ACID,-,0.333,0.667,-,308.15,1.2
L-HISTIDINE,OXALIC ACID,-,0.333,0.667,-,308.15,1.2
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.4,0.6,-,333.15,1.23
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,373.15,1.3
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,313.15,1.3
L-ALANINE,OXALIC ACID,-,0.333,0.667,-,308.15,1.4
L-CYSTINE,DECANOIC ACID,-,0.333,0.667,-,313.15,1.4
L-CYSTINE,LAURIC ACID,-,0.333,0.667,-,313.15,1.4
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,368.15,1.41
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,373.15,1.45
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,353.15,1.464
ACETIC ACID,L-MENTHOL,-,0.5,0.5,0,353.15,1.464
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,308.15,1.5
L-LYSINE,DECANOIC ACID,-,0.333,0.667,-,308.15,1.5
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,308.15,1.5
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,363.15,1.54
THYMOL,STEARIC ACID,-,0.9,0.1,-,373.15,1.54
THYMOL,DECANOIC ACID,-,0.5,0.5,-,373.15,1.57
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,368.15,1.61
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,348.15,1.632
ACETIC ACID,L-MENTHOL,-,0.5,0.5,0,348.15,1.632
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,373.15,1.66
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,358.15,1.69
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,373.15,1.69
THYMOL,STEARIC ACID,-,0.9,0.1,-,368.15,1.7
L-LYSINE,OXALIC ACID,-,0.333,0.667,-,308.15,1.7
L-ALANINE,DECANOIC ACID,-,0.333,0.667,-,308.15,1.7
THYMOL,DECANOIC ACID,-,0.5,0.5,-,368.15,1.72
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.33,0.67,-,363.15,1.73
THYMOL,PALMITIC ACID,-,0.8,0.2,-,373.15,1.74
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,373.15,1.75
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,373.15,1.77
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,363.15,1.79
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.2,0.8,-,348.15,1.8
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.111,0.889,-,348.15,1.8
THYMOL,LAURIC ACID,-,0.55,0.45,-,373.15,1.8
L-LYSINE,LAURIC ACID,-,0.333,0.667,-,308.15,1.8
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,373.15,1.81
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,373.15,1.82
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,368.15,1.84
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,343.15,1.843
ACETIC ACID,L-MENTHOL,-,0.5,0.5,0,343.15,1.843
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,353.15,1.86
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,368.15,1.86
THYMOL,STEARIC ACID,-,0.9,0.1,-,363.15,1.88
THYMOL,DECANOIC ACID,-,0.5,0.5,-,363.15,1.89
THYMOL,PALMITIC ACID,-,0.8,0.2,-,368.15,1.92
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,368.15,1.96
THYMOL,LAURIC ACID,-,0.55,0.45,-,368.15,1.98
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,358.15,2.0
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,368.15,2.0
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,368.15,2.04
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.33,0.67,-,353.15,2.04
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,368.15,2.05
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,348.15,2.05
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,363.15,2.06
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,363.15,2.06
THYMOL,DECANOIC ACID,-,0.5,0.5,-,358.15,2.08
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,338.15,2.095
ACETIC ACID,L-MENTHOL,-,0.5,0.5,0,338.15,2.095
THYMOL,STEARIC ACID,-,0.9,0.1,-,358.15,2.1
THYMOL,PALMITIC ACID,-,0.8,0.2,-,363.15,2.12
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,353.15,2.124
THYMOL,LAURIC ACID,-,0.55,0.45,-,363.15,2.19
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,363.15,2.21
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,353.15,2.25
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,343.15,2.27
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,363.15,2.29
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,358.15,2.3
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.333,0.667,-,313.15,2.31
THYMOL,DECANOIC ACID,-,0.5,0.5,-,353.15,2.31
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,358.15,2.31
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,348.15,2.314
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,363.15,2.32
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,363.15,2.32
THYMOL,STEARIC ACID,-,0.9,0.1,-,353.15,2.35
THYMOL,PALMITIC ACID,-,0.8,0.2,-,358.15,2.37
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,333.15,2.391
ACETIC ACID,L-MENTHOL,-,0.5,0.5,0,333.15,2.391
ETHYLAMMONIUM CHLORIDE,TETRAETHYLENEPENTAMINE,-,0.5,0.5,-,313.15,2.398
L-CYSTINE,HEXANOIC ACID,-,0.333,0.667,-,308.15,2.4
L-LYSINE,DECANOIC ACID,-,0.333,0.667,-,303.15,2.4
THYMOL,LAURIC ACID,-,0.55,0.45,-,358.15,2.42
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,353.15,2.432
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,343.15,2.462
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,308.15,2.5
L-HISTIDINE,LAURIC ACID,-,0.333,0.667,-,308.15,2.5
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,358.15,2.51
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,338.15,2.53
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.33,0.67,-,343.15,2.53
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,343.15,2.531
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,348.15,2.55
LAURIC ACID,L-MENTHOL,-,0.5,0.5,0,353.15,2.569
THYMOL,DECANOIC ACID,-,0.5,0.5,-,348.15,2.57
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,353.15,2.57
L-LYSINE,HEXANOIC ACID,-,0.333,0.667,-,298.15,2.6
L-HISTIDINE,HEXANOIC ACID,-,0.333,0.667,-,303.15,2.6
L-HISTIDINE,OXALIC ACID,-,0.333,0.667,-,303.15,2.6
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,353.15,2.61
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,358.15,2.63
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,358.15,2.65
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,358.15,2.65
THYMOL,PALMITIC ACID,-,0.8,0.2,-,353.15,2.65
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,348.15,2.66
THYMOL,STEARIC ACID,-,0.9,0.1,-,348.15,2.66
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,338.15,2.699
THYMOL,LAURIC ACID,-,0.55,0.45,-,353.15,2.7
L-CYSTINE,DECANOIC ACID,-,0.333,0.667,-,308.15,2.7
L-ALANINE,LAURIC ACID,-,0.333,0.667,-,308.15,2.7
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,343.15,2.72
L-MENTHOL,PYRUVIC ACID,-,0.333,0.667,-,353.15,2.744
PYRUVIC ACID,L-MENTHOL,-,0.5,0.5,0,353.15,2.744
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,338.15,2.779
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,328.15,2.782
ACETIC ACID,L-MENTHOL,-,0.5,0.5,0,328.15,2.782
L-HISTIDINE,DECANOIC ACID,-,0.333,0.667,-,303.15,2.8
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,333.15,2.83
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,353.15,2.839
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,353.15,2.859
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,353.15,2.87
THYMOL,DECANOIC ACID,-,0.5,0.5,-,343.15,2.88
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,348.15,2.89
L-ALANINE,HEXANOIC ACID,-,0.333,0.667,-,303.15,2.9
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,343.15,2.91
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,343.15,2.921
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,348.15,2.97
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,333.15,2.972
THYMOL,PALMITIC ACID,-,0.8,0.2,-,348.15,3.0
THYMOL,LAURIC ACID,-,0.55,0.45,-,348.15,3.02
THYMOL,STEARIC ACID,-,0.9,0.1,-,343.15,3.03
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,353.15,3.04
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,353.15,3.06
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,353.15,3.06
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,333.15,3.063
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,338.15,3.098
L-CYSTINE,LAURIC ACID,-,0.333,0.667,-,308.15,3.1
LAURIC ACID,L-MENTHOL,-,0.5,0.5,0,348.15,3.104
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,348.15,3.121
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,328.15,3.2
L-LYSINE,OXALIC ACID,-,0.333,0.667,-,303.15,3.2
L-MENTHOL,PYRUVIC ACID,-,0.333,0.667,-,348.15,3.203
PYRUVIC ACID,L-MENTHOL,-,0.5,0.5,0,348.15,3.203
CHOLINE CHLORIDE,O-CRESOL,-,0.1,0.9,-,353.15,3.21
IMIDAZOLE,ETHANOLAMINE,-,0.2,0.8,-,338.15,3.21
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,338.15,3.221
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.33,0.67,-,333.15,3.24
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,323.15,3.251
ACETIC ACID,L-MENTHOL,-,0.5,0.5,0,323.15,3.251
THYMOL,DECANOIC ACID,-,0.5,0.5,-,338.15,3.26
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,343.15,3.28
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,328.15,3.286
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,348.15,3.32
ALPHA-TERPINEOL,CAMPHOR,-,0.5,0.5,-,353.15,3.32
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,338.15,3.34
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,343.15,3.341
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,348.15,3.342
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,328.15,3.393
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,343.15,3.4
THYMOL,LAURIC ACID,-,0.55,0.45,-,343.15,3.4
THYMOL,PALMITIC ACID,-,0.8,0.2,-,343.15,3.41
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,343.15,3.443
THYMOL,STEARIC ACID,-,0.9,0.1,-,338.15,3.49
L-LYSINE,LAURIC ACID,-,0.333,0.667,-,303.15,3.5
ACETYLCHOLINE CHLORIDE,IMIDAZOLE,-,0.4,0.6,-,323.15,3.52
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,348.15,3.53
CHOLINE CHLORIDE,O-CRESOL,-,0.1,0.9,-,348.15,3.54
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,333.15,3.557
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,333.15,3.567
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,348.15,3.57
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,348.15,3.59
CHOLINE CHLORIDE,O-CRESOL,-,0.111,0.889,-,353.15,3.6
L-ALANINE,OXALIC ACID,-,0.333,0.667,-,303.15,3.6
L-MENTHOL,CAMPHOR,-,0.5,0.5,-,353.15,3.62
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,323.15,3.64
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,323.15,3.651
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,353.15,3.67
IMIDAZOLE,ETHANOLAMINE,-,0.25,0.75,-,338.15,3.69
THYMOL,DECANOIC ACID,-,0.5,0.5,-,333.15,3.7
L-MENTHOL,PYRUVIC ACID,-,0.333,0.667,-,343.15,3.7
PYRUVIC ACID,L-MENTHOL,-,0.5,0.5,0,343.15,3.7
LAURIC ACID,L-MENTHOL,-,0.5,0.5,0,343.15,3.716
IMIDAZOLE,ETHANOLAMINE,-,0.333,0.667,-,338.15,3.75
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,338.15,3.76
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,323.15,3.777
L-HISTIDINE,HEXANOIC ACID,-,0.333,0.667,-,298.15,3.8
L-ALANINE,DECANOIC ACID,-,0.333,0.667,-,303.15,3.8
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,338.15,3.81
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,338.15,3.815
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,318.15,3.843
ACETIC ACID,L-MENTHOL,-,0.5,0.5,0,318.15,3.843
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,343.15,3.86
THYMOL,LAURIC ACID,-,0.55,0.45,-,338.15,3.86
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,343.15,3.862
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,333.15,3.88
CHOLINE CHLORIDE,O-CRESOL,-,0.125,0.875,-,353.15,3.9
THYMOL,PALMITIC ACID,-,0.8,0.2,-,338.15,3.91
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,338.15,3.92
L-MENTHOL,PHENOL,-,0.1,0.9,-,323.15,3.92
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,328.15,3.971
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,353.15,4.01
CHOLINE CHLORIDE,O-CRESOL,-,0.1,0.9,-,343.15,4.02
1-OCTANOL,OCTANOIC ACID,-,0.75,0.25,-,298.15,4.03
CHOLINE CHLORIDE,O-CRESOL,-,0.111,0.889,-,348.15,4.05
CHOLINE CHLORIDE,M-CRESOL,-,0.111,0.889,-,353.15,4.05
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,343.15,4.057
THYMOL,STEARIC ACID,-,0.9,0.1,-,333.15,4.06
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,318.15,4.079
L-CYSTINE,HEXANOIC ACID,-,0.333,0.667,-,303.15,4.1
L-HISTIDINE,LAURIC ACID,-,0.333,0.667,-,303.15,4.1
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,328.15,4.12
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,343.15,4.14
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,348.15,4.16
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,318.15,4.17
IMIDAZOLE,ETHANOLAMINE,-,0.167,0.833,-,338.15,4.2
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,343.15,4.21
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,318.15,4.227
THYMOL,DECANOIC ACID,-,0.5,0.5,-,328.15,4.24
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,333.15,4.247
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,353.15,4.26
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,343.15,4.27
THYMOL,1-TETRADECANOL,-,0.5,0.5,-,333.15,4.296
L-MENTHOL,PYRUVIC ACID,-,0.333,0.667,-,338.15,4.321
PYRUVIC ACID,L-MENTHOL,-,0.5,0.5,0,338.15,4.321
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,333.15,4.34
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.33,0.67,-,323.15,4.35
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,348.15,4.36
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,333.15,4.389
IMIDAZOLE,ETHANOLAMINE,-,0.143,0.857,-,338.15,4.4
L-MENTHOL,PHENOL,-,0.2,0.8,-,323.15,4.412
THYMOL,LAURIC ACID,-,0.55,0.45,-,333.15,4.42
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,323.15,4.444
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,338.15,4.457
CHOLINE CHLORIDE,M-CRESOL,-,0.125,0.875,-,353.15,4.46
CHOLINE CHLORIDE,O-CRESOL,-,0.125,0.875,-,348.15,4.47
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,338.15,4.507
LAURIC ACID,L-MENTHOL,-,0.5,0.5,0,338.15,4.507
CHOLINE CHLORIDE,O-CRESOL,-,0.111,0.889,-,343.15,4.52
THYMOL,PALMITIC ACID,-,0.8,0.2,-,333.15,4.53
IMIDAZOLE,ETHANOLAMINE,-,0.2,0.8,-,328.15,4.53
CHOLINE CHLORIDE,M-CRESOL,-,0.111,0.889,-,348.15,4.54
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,328.15,4.54
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,338.15,4.54
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,313.15,4.564
ACETIC ACID,L-MENTHOL,-,0.5,0.5,0,313.15,4.564
CHOLINE CHLORIDE,O-CRESOL,-,0.1,0.9,-,338.15,4.57
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,333.15,4.58
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,313.15,4.598
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.125,0.875,-,353.15,4.62
CHOLINE CHLORIDE,O-CRESOL,-,0.143,0.857,-,353.15,4.63
L-CYSTINE,OXALIC ACID,-,0.333,0.667,-,303.15,4.7
CHOLINE CHLORIDE,M-CRESOL,-,0.1,0.9,-,343.15,4.71
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,328.15,4.753
L-MENTHOL,PHENOL,-,0.1,0.9,-,318.15,4.758
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,313.15,4.759
THYMOL,STEARIC ACID,-,0.9,0.1,-,328.15,4.77
L-ALANINE,LAURIC ACID,-,0.333,0.667,-,303.15,4.8
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.111,0.889,-,348.15,4.81
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,313.15,4.83
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,323.15,4.838
IMIDAZOLE,ETHANOLAMINE,-,0.25,0.75,-,328.15,4.89
THYMOL,DECANOIC ACID,-,0.5,0.5,-,323.15,4.91
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,338.15,4.91
L-MENTHOL,PHENOL,-,0.25,0.75,-,323.15,4.924
L-MENTHOL,PHENOL,-,0.3,0.7,-,323.15,4.928
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,333.15,4.932
CHOLINE CHLORIDE,M-CRESOL,-,0.143,0.857,-,353.15,4.94
CHOLINE CHLORIDE,O-CRESOL,-,0.125,0.875,-,343.15,4.95
CHOLINE CHLORIDE,4-METHYLPHENOL,-,0.1,0.9,-,343.15,4.98
IMIDAZOLE,ETHANOLAMINE,-,0.333,0.667,-,328.15,4.98
1-DECANOL,OCTANOIC ACID,-,0.5,0.5,-,298.15,5.0
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,318.15,5.003
L-MENTHOL,PYRUVIC ACID,-,0.333,0.667,-,333.15,5.034
