TZVP,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60
1.3-DITHIANE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,1.157,2.708,4.639,7.444,10.777,12.415,11.88,10.771,9.356,7.981,7.088,5.851,4.882,4.368,3.899,4.923,6.413,5.713,3.531,2.693,3.767,4.446,3.292,1.695,0.737,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3-PROPANEDIOL,0,0,0,0,0,0,0,0,0,0,0.044,0.353,0.908,1.067,0.841,0.908,1.059,0.906,0.626,0.563,0.857,1.036,1.17,2.655,6.854,11.799,13.431,11.391,8.246,6.267,5.427,4.234,2.673,1.663,1.62,1.911,1.864,1.666,1.547,1.384,1.115,0.99,1.456,2.147,2.492,2.395,2.238,2.373,2.186,1.346,0.412,0.012,0,0,0,0,0,0,0,0,0
1.4-BUTANEDIOL,0,0,0,0,0,0,0,0,0,0,0.072,0.441,1.005,1.059,0.89,1.06,1.053,0.847,0.547,0.365,0.583,0.72,0.716,1.65,5.082,10.56,14.945,15.664,12.915,9.801,8.044,6.636,5.04,3.086,1.704,1.649,1.775,1.397,1.217,1.404,1.668,1.644,1.376,1.266,1.42,1.946,2.202,2.05,1.901,1.714,1.144,0.344,0.003,0,0,0,0,0,0,0,0
1.4-DIIODOTETRAFLUOROBENZENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,0.487,1.128,2.682,3.221,1.656,2.02,6.681,12.891,14.62,12.589,10.066,9.384,14.255,18.114,24.836,35.113,27.822,9.111,0.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4-DITHIANE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315,5.504,10.607,12.522,10.939,10.821,11.489,9.255,7.741,7.212,5.276,3.771,3.903,4.528,4.917,6.21,6.361,4.239,3.292,3.507,3.51,3.108,1.937,0.84,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6-HEXANEDIOL,0,0,0,0,0,0,0,0,0,0,0,0.083,0.468,1.524,2.144,1.494,1.563,2.368,2.259,1.541,0.84,0.751,1.069,1.208,2.856,8.509,16.477,21.686,21.741,17.707,13.156,9.833,7.387,5.666,3.503,1.989,1.663,1.632,1.716,1.62,1.429,1.272,1.514,2.482,3.29,3.222,3.247,3.481,2.734,1.138,0.152,0,0,0,0,0,0,0,0,0,0
1-BUTANOL,0,0,0,0,0,0,0,0,0,0,0,0.04,0.236,0.763,1.073,0.769,0.78,1.193,1.105,0.643,0.404,0.484,0.587,0.568,1.365,4.876,10.759,15.596,16.472,13.407,10.468,9.145,8.451,7.619,4.487,1.659,0.894,0.621,0.737,0.888,0.755,0.624,0.874,1.327,1.582,1.569,1.618,1.712,1.356,0.598,0.095,0,0,0,0,0,0,0,0,0,0
1-BUTYL-3-METHYLIMIDAZOLIUM ACETATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,1.116,3.199,4.494,4.045,5.998,9.781,10.394,10.888,16.398,24.611,28.412,23.741,16.504,13.689,13.896,14.759,12.93,6.897,2.37,1.225,1.167,1.242,1.04,1.21,1.523,1.583,2.284,3.193,3.158,2.653,2.745,3.446,3.91,3.509,2.46,1.663,1.072,0.398,0.049,0,0,0,0,0
1-BUTYL-3-METHYLIMIDAZOLIUM HEXAFLUOROPHOSPHATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,1.928,3.261,4.329,5.939,7.308,9.354,11.666,11.582,11.803,14.156,17.913,21.892,20.781,15.402,11.193,9.031,8.063,7.216,5.102,1.983,0.893,4.085,11.849,26.643,37,25.223,6.594,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-BUTYL-3-METHYLIMIDAZOLIUM TRIFLUOROMETHANESULFONATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.559,1.973,2.946,2.995,3.121,3.8,6.256,10.182,11.466,10.546,12.356,18.149,23.375,22.163,16.673,12.741,12.931,16.759,21.669,20.529,11.553,4.777,2.349,1.066,1.025,1.627,3.088,5.416,7.59,9.498,10.858,8.643,3.567,0.516,0,0,0,0,0,0,0,0,0,0,0,0,0
1-DECANOL,0,0,0,0,0,0,0,0,0,0,0,0.036,0.211,0.736,1.072,0.767,0.784,1.236,1.159,0.651,0.374,0.457,0.588,0.602,1.372,4.813,13.624,26.007,35.395,36.731,30.766,23.876,18.81,15.747,11.641,4.723,0.903,0.62,0.759,0.907,0.721,0.608,0.893,1.312,1.576,1.621,1.668,1.707,1.329,0.565,0.076,0,0,0,0,0,0,0,0,0,0
1-DODECANOL,0,0,0,0,0,0,0,0,0,0,0,0.038,0.218,0.743,1.069,0.76,0.781,1.232,1.157,0.652,0.374,0.466,0.592,0.587,1.366,4.843,14.663,29.528,41.488,44.207,37.671,29.122,22.453,18.472,13.91,5.699,0.919,0.613,0.751,0.901,0.738,0.616,0.883,1.338,1.597,1.57,1.611,1.709,1.349,0.581,0.085,0,0,0,0,0,0,0,0,0,0
1-ETHYL-1-METHYLPYRROLIDINIUM BROMIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.549,2.4,7.209,11.529,12.868,15.875,20.204,21.058,18.228,13.159,8.859,8.227,7.333,3.318,0.442,0,0,0.034,0.192,0.382,0.418,0.302,0.215,0.944,2.579,3.201,2.089,2.428,11.372,17.545,7.989,0.019,0,0,0,0,0,0,0,0,0,0,0
1-ETHYL-3-METHYLIMIDAZOLIUM CHLORIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417,1.799,3.278,4.373,5.778,7.052,9.416,12.759,12.701,11.477,13.299,15.289,14.787,10.794,6.459,5.196,5.063,5.21,4.255,2.403,1.986,1.394,0.309,0,0,0.018,0.221,0.389,0.266,0.636,1.428,2.111,2.504,3.612,12.231,18.009,8.28,0.156,0,0,0,0,0,0,0,0,0
1H-1.2.3-TRIAZOLE,0,0,0,0,0,0,0,0,0,0.08,1.027,2.278,2.116,1.386,1.015,0.658,0.531,0.926,1.887,2.869,3.34,3.27,2.774,2.436,2.6,2.629,2.516,2.791,3.745,4.878,4.666,4.195,4.905,4.925,3.417,1.972,1.405,1.653,2.065,1.879,2.208,3.071,3.219,2.798,2.01,1.651,1.918,1.701,1.085,0.627,0.31,0.085,0,0,0,0,0,0,0,0,0
1H-BENZOTRIAZOLE,0,0,0,0,0,0,0,0,0,0.181,1.036,1.865,1.678,1.204,1.106,1.078,0.766,0.475,0.385,0.348,0.983,3.388,6.874,8.208,6.908,5.937,5.369,4.714,5.304,6.644,7.587,8.528,9.479,9.591,9.26,7.34,3.963,2.444,2.422,2.486,2.71,2.568,2.421,2.224,1.869,1.887,1.629,1.081,0.711,0.367,0.098,0,0,0,0,0,0,0,0,0,0
1H-BENZOTRIAZOLIUM. 3-BUTYL-1-ETHYL-. HEXAFLUOROPHOSPHATE(1-) (1:1) (ACI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0.264,1.477,5.283,12.33,18.809,20.144,18.283,17.391,20.214,23.347,21.298,17.419,15.433,15.379,15.644,13.879,9.056,3.301,0.72,3.166,11.163,27.004,37.85,25.578,6.717,0.292,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-HEXADECANOL,0,0,0,0,0,0,0,0,0,0,0,0.035,0.204,0.725,1.073,0.756,0.774,1.167,1.118,0.816,0.457,0.422,0.625,0.614,1.356,4.786,16.541,36.26,53.759,59.693,51.294,39.392,30.748,24.687,17.798,6.751,0.821,1.086,1.044,0.745,0.687,0.655,0.653,1.106,1.62,1.682,1.67,1.741,1.382,0.582,0.077,0,0,0,0,0,0,0,0,0,0
1-HEXANOL,0,0,0,0,0,0,0,0,0,0,0,0.036,0.213,0.741,1.075,0.771,0.792,1.234,1.152,0.646,0.372,0.474,0.607,0.584,1.32,4.707,11.601,19.017,22.968,21.609,17.257,13.855,11.971,10.482,6.868,2.551,0.835,0.623,0.754,0.89,0.726,0.628,0.865,1.291,1.598,1.619,1.652,1.719,1.345,0.575,0.082,0,0,0,0,0,0,0,0,0,0
1-HEXYL-3-METHYLIMIDAZOLIUM HEXAFLUOROPHOSPHATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.549,1.913,3.062,4.192,5.961,7.491,9.739,11.796,11.019,11.372,14.514,17.388,21.015,23.981,23.683,20.108,14.997,11.746,10.236,8.292,4.761,2.15,4.473,11.691,25.156,35.157,25.014,7.533,0.774,0.151,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-METHANESULFONATE (1:1) (ACI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,1.762,3.787,4.404,5.552,10.164,13.194,13.287,15.996,22.768,29.333,30.726,28.701,26.232,22.612,18.46,16.412,14.855,10.044,4.662,2.607,2.25,1.713,1.434,1.322,1.786,2.819,3.56,4.217,4.493,5.907,9.001,8.886,4.565,0.962,0,0,0,0,0,0,0,0,0,0
1H-TETRAZOLE,0,0,0,0,0,0,0,0.026,0.585,1.857,2.457,1.814,1.124,0.886,0.792,0.95,2.015,2.98,2.289,1.308,1.252,1.4,1.67,2.269,2.801,3.321,3.976,3.957,3.059,2.299,1.704,1.32,1.48,1.749,2.195,2.418,2.42,3.157,3.938,4.178,4.157,3.745,3.283,3.097,2.754,2.074,1.683,1.34,0.615,0.107,0,0,0,0,0,0,0,0,0,0,0
1-HYDROXYETHYL-1.4-DIMETHYL-PIPERAZINIUM_BROMIDE,0,0,0,0,0,0,0,0,0,0.01,0.335,1.098,1.364,1.004,1.103,1.264,1.096,1.285,3.025,7.795,13.227,15.897,16.407,15.919,15.91,16.009,13.902,10.812,7.92,6.683,6.924,5.116,2.458,1.372,1.213,1.077,0.754,0.913,1.434,1.526,1.458,2.24,4.369,5.595,4.424,4.321,12.76,18.902,9.178,0.625,0.345,0.146,0,0,0,0,0,0,0,0,0
1-METHYL-3-N-OCTYLIMIDAZOLIUM HEXAFLUOROPHOSPHATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,0.749,1.648,2.143,3.522,5.387,6.716,9.143,12.119,12.908,13.65,16.052,18.813,22.984,27.102,29.075,26.935,20.829,15.905,13.207,10.831,6.957,2.972,4.906,13.099,28.534,38.112,23.576,4.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-NAPHTHOL,0,0,0,0,0,0,0,0,0.027,0.271,0.766,1.009,1.143,1.445,1.237,0.636,0.313,0.312,0.475,0.636,0.805,1.652,4.635,9.727,12.558,10.6,7.558,6.134,6.27,6.403,5.846,6.629,9.551,13.539,16.7,17.863,14.78,7.44,2.177,1.341,1.728,1.723,1.332,0.814,0.309,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-OCTANOL,0,0,0,0,0,0,0,0,0,0,0,0.03,0.19,0.714,1.082,0.784,0.794,1.176,1.121,0.791,0.453,0.466,0.64,0.579,1.313,4.711,12.535,22.402,29.184,29.261,23.796,18.681,15.662,13.339,9.13,3.356,0.83,1.068,1.061,0.773,0.706,0.644,0.662,1.16,1.634,1.625,1.621,1.73,1.382,0.573,0.067,0,0,0,0,0,0,0,0,0,0
1-TETRADECANOL,0,0,0,0,0,0,0,0,0,0,0,0.031,0.19,0.714,1.083,0.769,0.774,1.175,1.13,0.797,0.435,0.402,0.613,0.651,1.391,4.851,15.732,33.028,47.536,51.675,44.327,34.256,26.455,21.432,15.997,6.28,0.874,1.086,1.011,0.728,0.689,0.67,0.674,1.095,1.608,1.681,1.662,1.737,1.387,0.582,0.072,0,0,0,0,0,0,0,0,0,0
2-(2.2-DIPHENYLACETYL)OXYETHYL-DIETHYLAZANIUM_CHLORIDE,0,0,0,0,0,0,0.038,0.451,1.405,1.806,1.258,0.911,0.724,0.483,0.825,1.549,2.148,2.477,3.084,4.996,7.7,10.926,17.455,27.19,30.901,25.16,18.972,15.511,13.83,14.65,14.327,10.826,9.37,11.263,13.354,16.016,15.313,9.174,3.825,2.304,2.962,4.234,4.341,4.159,4.402,2.957,1.436,4.332,10.733,11.125,4.74,0.892,0.315,0.064,0,0,0,0,0,0,0
2.2'-BIPYRIDINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486,3.115,9.783,15.307,13.757,9.906,7.54,5.668,6.065,8.641,12.539,18.619,23.999,22.156,12.232,4.306,2.002,0.974,0.842,1.586,2.201,1.968,1.226,1.072,2.005,2.48,1.592,0.58,0.112,0,0,0,0,0,0,0,0,0,0,0,0
2.3-BUTANEDIOL,0,0,0,0,0,0,0,0,0,0,0,0.117,0.586,1.028,0.874,0.874,1.699,2.137,1.511,0.882,0.821,1.058,1.325,2.042,5.243,10.786,14.177,12.63,8.904,6.852,6.821,8.34,8.626,5.453,2.489,1.39,1.28,1.44,1.385,1.559,1.454,1.162,1.503,2.31,2.754,2.712,2.678,2.546,1.683,0.54,0.049,0,0,0,0,0,0,0,0,0,0
2.3-DIHYDROXYSUCCINIC ACID,0,0,0,0,0,0,0,0.264,1.431,2.767,3.097,2.81,2.4,2.458,2.982,2.897,2.024,1.573,2.018,3.064,4.851,5.785,5.058,4.262,4.253,4.693,4.165,2.952,2.407,2.259,2.435,3.059,3.646,4.486,5.215,4.614,4.234,4.915,5.651,6.578,7.585,7.596,6.66,5.84,4.358,2.847,2.637,2.125,0.839,0.102,0,0,0,0,0,0,0,0,0,0,0
2.3-DIMETHYLPHENOL,0,0,0,0,0,0,0,0,0,0.043,0.434,0.905,0.999,1.215,1.403,1.034,0.521,0.278,0.339,0.617,0.773,0.932,1.748,3.659,7.545,11.624,12.78,11.438,8.987,7.44,8.486,11.571,12.571,10.067,8.399,7.928,8.078,8.104,5.49,2.257,1.324,1.742,1.727,1.265,0.777,0.299,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4.6-TRIMETHYLPHENOL,0,0,0,0,0,0,0,0,0,0.018,0.135,0.362,0.566,0.76,0.853,0.725,0.583,0.466,0.345,0.303,0.434,0.819,1.749,4.079,8.643,13.966,16.659,15.073,11.335,9.489,10.988,14.743,15.608,11.13,7.642,7.242,7.528,7.424,5.248,2.221,1.248,1.722,1.855,1.601,1.048,0.324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6-DIMETHYLPHENOL,0,0,0,0,0,0,0,0,0,0.022,0.143,0.374,0.609,0.805,0.857,0.748,0.601,0.451,0.346,0.273,0.467,1.016,2.35,5.423,9.972,13.339,12.975,10.479,8.555,8.251,9.454,11.227,11.24,8.915,7.628,7.801,8.048,7.855,5.516,2.297,1.256,1.614,1.775,1.614,0.938,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6-DI-TERT-BUTYL-4-METHYLPHENOL,0,0,0,0,0,0,0,0,0,0,0.029,0.169,0.41,0.566,0.458,0.215,0.144,0.199,0.303,0.45,0.509,0.654,0.868,1.346,5.013,14.082,24.132,29.007,27.522,22.797,19.851,22.164,25.372,22.346,14.668,9.341,8.324,7.903,5.768,2.744,0.843,0.261,0.047,0.025,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-AMINOPYRIDINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0.664,1.512,2.219,2.596,2.482,1.957,1.497,2.209,4.958,8.014,8.276,6.227,5.001,4.619,4.032,3.707,3.786,5.45,8.019,9.28,10.172,9.553,6.081,2.773,1.409,1.121,1.465,1.799,1.595,1.588,1.692,1.34,0.806,0.554,0.605,0.724,0.651,0.411,0.23,0.082,0,0,0,0,0,0,0
2-CHLOROBENZOIC ACID,0,0,0,0,0,0,0,0,0.135,0.687,1.376,1.61,1.251,0.59,0.315,0.64,0.902,0.612,0.305,0.419,1.246,4.156,7.648,7.821,5.809,5.211,6.332,7.104,7.05,8.288,11.009,12.873,13.508,13.946,12.145,7.738,4.29,2.949,2.497,2.484,2.876,3.503,3.894,3.231,1.772,0.538,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-ETHYLHEXYL 4-HYDROXYBENZOATE,0,0,0,0,0,0,0,0,0.137,0.672,1.134,1.504,1.844,1.203,0.361,0.3,0.425,0.417,0.532,0.795,1.259,2.933,5.545,7.195,7.657,9.755,17.178,27.776,33.066,29.177,23.787,23.352,25.351,24.868,18.615,9.912,3.876,2.247,3.019,2.866,2.111,2.471,4.331,5.577,4.312,1.981,0.544,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0
2-FUROIC ACID,0,0,0,0,0,0,0,0,0.143,0.669,1.347,1.713,1.388,0.573,0.261,0.601,0.881,0.765,1.22,2.942,4.654,5.17,4.261,3.195,3.48,4.187,5.036,6.335,6.963,6.795,6.942,7.475,7.598,7.236,5.996,4.382,3.623,3.228,2.522,2.413,3.437,4.809,5.402,4.529,2.751,1.075,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-HYDROXYETHYLAZANIUM CHLORIDE,0,0,0,0,0,0,0,0,0.145,1.658,4.967,6.608,5.041,3.365,2.782,2.494,2.131,1.696,1.552,1.98,3.572,5.408,5.568,5.064,5.054,4.697,3.961,3.691,3.113,1.689,0.979,1.093,1.07,0.666,0.547,0.863,1.452,2.216,1.943,1.203,1.579,2.246,2.198,2.747,4.527,9.35,14.258,10.708,3.148,0.144,0,0,0,0,0,0,0,0,0,0,0
2-METHOXYBENZOIC ACID,0,0,0,0,0,0,0,0,0,0.272,0.857,1.375,1.575,1.133,0.45,0.285,0.589,0.866,0.658,0.366,0.663,2.254,7.36,13.592,13.523,8.835,7.324,9.201,9.564,8.542,8.333,8.324,9.136,9.768,9.854,9.077,5.853,3.09,2.221,1.882,2.005,2.85,4.15,5.044,4.845,3.133,0.979,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0
2-NITROBENZOIC ACID,0,0,0,0,0,0,0,0.046,0.545,1.354,1.7,1.408,0.703,0.322,0.668,0.952,0.606,0.378,0.986,2.235,4.229,7.125,8.273,6.336,4.967,5.63,6.406,7.01,7.555,8.503,10.549,11.884,10.354,6.498,4.262,6.297,9.916,9.932,7.362,5.996,5.159,4.671,3.958,2.418,0.96,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-PYRIDINEMETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.381,1.14,3.569,7.913,10.945,11.258,10.186,7.677,5.522,6.075,7.576,8.444,10.079,11.433,10.218,6.421,2.71,1.379,1.609,2.11,2.195,1.981,1.617,1.294,1.43,1.564,1.437,1.692,2.048,1.496,0.523,0.068,0,0,0,0,0,0,0,0,0,0
3.4-DIMETHYLPHENOL,0,0,0,0,0,0,0,0,0,0.071,0.485,0.922,0.931,1.14,1.465,1.126,0.54,0.292,0.319,0.518,0.749,1.1,2.133,3.956,7.612,11.917,13.085,11.717,9.539,7.299,7.447,11.477,13.221,9.714,7.775,8.209,8.97,8.069,4.433,2.145,1.635,1.134,1.224,1.746,1.646,0.784,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-AMINOPROPAN-1-OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,1.296,2.374,2.334,2.445,2.881,2.465,1.594,2.381,6.499,12.019,14.238,12.345,9.46,7.237,5.889,4.327,2.512,1.712,1.681,1.625,1.462,1.503,1.356,1.221,1.338,1.041,0.758,0.752,1.045,1.587,1.556,1.632,2.112,1.664,0.628,0.095,0,0,0,0,0,0,0,0
3-AMINOPYRIDINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,0.6,1.658,2.356,2.718,3.081,2.538,1.675,2.718,5.663,7.651,7.121,5.692,4.929,4.242,3.386,3.332,3.957,4.846,7.572,10.714,11.237,9.028,5.039,2.17,1.083,0.999,1.54,1.713,1.762,1.562,1.278,1.343,1.355,1.114,0.824,0.746,0.719,0.518,0.295,0.1,0,0,0,0,0,0,0
3-CYCLOHEXYLPROPANOIC ACID,0,0,0,0,0,0,0,0,0.024,0.331,0.935,1.466,1.625,1.098,0.405,0.317,0.733,0.929,0.523,0.282,0.41,0.376,0.567,1.734,3.586,5.861,11.998,22.217,28.866,26.932,19.424,13.966,12.1,9.124,4.948,2.509,2.369,2.507,2.089,2.289,2.674,3.296,4.418,4.134,2.817,1.882,0.83,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0
3-DIHYDROXYSUCCINIC ACID,0,0,0,0,0,0,0,0.23,1.383,2.794,3.156,2.837,2.412,2.443,2.965,2.912,2.023,1.554,2.027,3.059,4.815,5.778,5.084,4.274,4.253,4.713,4.175,2.951,2.416,2.259,2.427,3.052,3.623,4.454,5.23,4.66,4.241,4.905,5.65,6.524,7.527,7.621,6.704,5.858,4.367,2.848,2.64,2.125,0.835,0.101,0,0,0,0,0,0,0,0,0,0,0
3-HYDROXYPYRIDINE,0,0,0,0,0,0,0,0,0.048,0.406,0.915,1.111,1.378,1.589,1.047,0.379,0.268,0.377,0.537,0.797,1.492,3.644,6.521,7.42,5.893,4.4,3.808,3.402,3.735,4.812,6.676,9.198,10.663,10.168,7.437,4,2.443,2.303,2.232,1.973,1.891,2.412,2.806,2.294,1.428,0.985,0.768,0.652,0.755,0.769,0.577,0.335,0.121,0.014,0,0,0,0,0,0,0
