Component #1,Component #2,Component #3,x1,x2,x3,T /K,Density /g/cm^3
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,358.15,0.8514
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,353.15,0.8515
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,353.15,0.851875
TETRAHEPTYLAMMONIUM CHLORIDE,OLEIC ACID,-,0.333,0.667,-,313.15,0.852
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,323.15,0.852
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,363.15,0.8523
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,353.15,0.8523
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,353.15,0.85262
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,338.15,0.8529
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,353.15,0.8529
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,353.15,0.853
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,358.15,0.8541
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,338.15,0.8545
EUCALYPTOL,LAURIC ACID,-,0.5,0.5,-,298.15,0.8547
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,348.15,0.8549
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,353.15,0.855
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,353.15,0.8553
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,348.15,0.8553
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,348.15,0.8553
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,353.15,0.8557
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,348.15,0.856
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,348.15,0.8562
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,333.15,0.8562
CAMPHOR,1-DODECANOL,-,0.333,0.667,-,293.15,0.8567
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,348.15,0.857
L-MENTHOL,DECANOIC ACID,-,0.333,0.667,-,333.15,0.857
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,333.15,0.8579
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,353.15,0.858
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,353.15,0.858
L-MENTHOL,OCTANOIC ACID,-,0.25,0.75,-,353.15,0.8586
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,343.15,0.8587
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,348.15,0.859
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,343.15,0.859
L-MENTHOL,HEXYLENE GLYCOL,-,0.667,0.333,-,353.15,0.859
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,313.15,0.859
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,348.15,0.8591
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,343.15,0.8591
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,343.15,0.8594
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,328.15,0.8595
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,343.15,0.85963
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,343.15,0.8601
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,343.15,0.86016
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,353.15,0.8602
L-MENTHOL,OCTANOIC ACID,-,0.333,0.667,-,353.15,0.86056
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,343.15,0.8606
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,348.15,0.861
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,343.15,0.861
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,328.15,0.8612
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,348.15,0.8619
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,338.15,0.8624
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,338.15,0.8628
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,343.15,0.8629
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,338.15,0.8629
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,323.15,0.8629
TETRAHEPTYLAMMONIUM CHLORIDE,IBUPROFEN,-,0.7,0.3,-,343.15,0.863
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,343.15,0.863
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,308.15,0.863
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.5,0.5,-,363.15,0.863
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,343.15,0.8632
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,338.15,0.8632
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,338.15,0.863515
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,338.15,0.86389
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,338.15,0.8639
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,323.15,0.8645
CAMPHOR,1-DECANOL,-,0.333,0.667,-,293.15,0.8648
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,343.15,0.865
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,338.15,0.865
METHYLTRIOCTYLAMMONIUM CHLORIDE,1-OCTANOL,-,0.333,0.667,-,298.15,0.8654
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,343.15,0.8657
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,343.15,0.8658
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,338.15,0.866
NONANOIC ACID,UNDECANOIC ACID,-,0.5,0.5,-,298.15,0.866
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,333.15,0.8662
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,318.15,0.8662
L-MENTHOL,OCTANOIC ACID,-,0.25,0.75,-,343.15,0.8664
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,333.15,0.8665
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,333.15,0.8666
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,338.15,0.8667
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,338.15,0.8667
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,333.15,0.866895
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,333.15,0.8669
TETRAHEPTYLAMMONIUM CHLORIDE,OLEIC ACID,-,0.333,0.667,-,298.15,0.867
L-MENTHOL,HEXYLENE GLYCOL,-,0.667,0.333,-,343.15,0.867
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,303.15,0.867
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,318.15,0.86754
CAMPHOR,1-HEXANOL,-,0.333,0.667,-,293.15,0.8676
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,333.15,0.86763
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,343.15,0.86765
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,333.15,0.8677
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,318.15,0.8679
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,333.15,0.868
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,333.15,0.8682
LIDOCAINE,1-DODECANOL,-,0.333,0.667,-,293.15,0.8683
L-MENTHOL,OCTANOIC ACID,-,0.333,0.667,-,343.15,0.86857
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,338.15,0.869
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,373.15,0.8694
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,313.15,0.8695
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,338.15,0.8696
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,338.15,0.8697
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,318.15,0.869866667
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,333.15,0.87
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,328.15,0.87
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,298.15,0.87
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.5,0.5,-,353.15,0.87
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,328.15,0.8702
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,328.15,0.8703
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,333.15,0.8705
OCTANOIC ACID,UNDECANOIC ACID,-,0.5,0.5,-,298.15,0.8705
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,333.15,0.8707
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,328.15,0.8707
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,328.15,0.87078
CAMPHOR,OCTANOIC ACID,-,0.333,0.667,-,293.15,0.8709
L-MENTHOL,NONANOIC ACID,-,0.333,0.667,-,333.15,0.871
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,338.15,0.8712
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,313.15,0.8712
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,328.15,0.87134
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,328.15,0.8714
THYMOL,DECANOIC ACID,-,0.5,0.5,-,373.15,0.8715
THYMOL,LAURIC ACID,-,0.55,0.45,-,373.15,0.8715
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,328.15,0.872
L-MENTHOL,1-TETRADECANOL,-,0.667,0.333,-,298.0,0.87206
L-MENTHOL,OCTANOIC ACID,-,0.333,0.667,-,338.15,0.87234
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,308.15,0.8728
TETRAHEPTYLAMMONIUM CHLORIDE,IBUPROFEN,-,0.7,0.3,-,328.15,0.873
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,333.15,0.873
THYMOL,1-DECANOL,-,0.667,0.333,-,353.15,0.873
TETRAOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,323.15,0.8732
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,333.15,0.8735
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,333.15,0.8735
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,368.15,0.8735
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,323.15,0.8737
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,323.15,0.8739
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,328.15,0.874
L-MENTHOL,1-DECANOL,-,0.667,0.333,-,293.15,0.874
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,323.15,0.8741
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,328.15,0.8742
L-MENTHOL,OCTANOIC ACID,-,0.25,0.75,-,333.15,0.8742
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,328.15,0.8743
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,323.15,0.8744
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,308.15,0.8746
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,323.15,0.87467
TETRAHEPTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,323.15,0.8747
L-MENTHOL,HEXYLENE GLYCOL,-,0.667,0.333,-,333.15,0.875
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,323.15,0.87501
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,323.15,0.8751
L-MENTHOL,OCTANOIC ACID,-,0.333,0.667,-,333.15,0.875165
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,333.15,0.8754
THYMOL,DECANOIC ACID,-,0.5,0.5,-,368.15,0.8755
THYMOL,LAURIC ACID,-,0.55,0.45,-,368.15,0.8755
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,323.15,0.8755
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,328.0,0.8757
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,323.15,0.876
L-MENTHOL,OCTANOIC ACID,-,0.333,0.667,-,318.15,0.876145
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,303.15,0.8762
TETRAOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,318.15,0.8763
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,328.15,0.877
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.5,0.5,-,343.15,0.877
THYMOL,1-OCTANOL,-,0.333,0.667,-,293.15,0.8772
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,328.15,0.8773
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,318.15,0.8774
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,328.15,0.8775
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,318.15,0.8776
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,363.15,0.8776
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,318.15,0.8777
TETRAHEPTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,318.15,0.8779
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,303.15,0.8779
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,323.15,0.878
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,318.15,0.878
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,323.15,0.878
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,323.15,0.87825
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,318.15,0.8787
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,328.15,0.8788
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,318.15,0.879
TETRAOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,313.15,0.8794
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,323.0,0.8794
THYMOL,DECANOIC ACID,-,0.5,0.5,-,363.15,0.8795
THYMOL,LAURIC ACID,-,0.55,0.45,-,363.15,0.8795
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,298.15,0.8795
DECANOIC ACID,UNDECANOIC ACID,-,0.5,0.5,-,298.15,0.88
L-MENTHOL,OCTANOIC ACID,-,0.333,0.667,-,328.15,0.88009
THYMOL,1-DODECANOL,-,0.333,0.667,-,293.15,0.8806
METHYLTRIOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,323.15,0.8807
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,323.15,0.881
L-MENTHOL,STEARIC ACID,-,0.9,0.1,-,313.15,0.881
THYMOL,1-DECANOL,-,0.667,0.333,-,343.15,0.881
TETRAHEPTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,313.15,0.8811
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,323.15,0.8811
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,313.15,0.8812
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,298.15,0.8813
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,323.15,0.8814
L-MENTHOL,PALMITIC ACID,-,0.85,0.15,-,313.15,0.8814
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,373.15,0.8814
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,318.15,0.8816
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,313.15,0.8816
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,358.15,0.8817
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,318.15,0.8818
THYMOL,1-TETRADECANOL,-,0.5,0.5,-,333.15,0.88185
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,313.15,0.88197
TETRAHEPTYLAMMONIUM CHLORIDE,IBUPROFEN,-,0.7,0.3,-,313.15,0.882
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,318.15,0.882
L-MENTHOL,HEXYLENE GLYCOL,-,0.667,0.333,-,323.15,0.882
L-MENTHOL,OCTANOIC ACID,-,0.25,0.75,-,323.15,0.882
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,313.15,0.8823
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,313.15,0.88233
TETRAOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,308.15,0.8825
THYMOL,PALMITIC ACID,-,0.8,0.2,-,373.15,0.8828
TRIOCTYLPHOSPHINE OXIDE,LAURIC ACID,-,0.5,0.5,-,293.15,0.8828
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,313.15,0.8829
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,313.15,0.883
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.5,0.5,-,333.15,0.883
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,318.0,0.8831
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,323.15,0.8831
THYMOL,DECANOIC ACID,-,0.5,0.5,-,358.15,0.8835
THYMOL,LAURIC ACID,-,0.55,0.45,-,358.15,0.8835
METHYLTRIOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,318.15,0.8838
L-MENTHOL,OCTANOIC ACID,-,0.333,0.667,-,323.15,0.88397
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,353.15,0.884
EUCALYPTOL,NONANOIC ACID,-,0.5,0.5,-,298.15,0.884
TETRAHEPTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,308.15,0.8843
TRIOCTYLPHOSPHINE OXIDE,DECANOIC ACID,-,0.5,0.5,-,293.15,0.8847
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,308.15,0.8848
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,318.15,0.8849
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,318.15,0.885
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,308.15,0.885
L-MENTHOL,LAURIC ACID,-,0.5,0.5,-,310.15,0.885
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,310.15,0.885
L-MENTHOL,LAURIC ACID,-,0.9,0.1,-,310.15,0.885
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,318.15,0.8853
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,368.15,0.8853
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,313.15,0.8855
THYMOL,1-TETRADECANOL,-,0.5,0.5,-,328.15,0.88557
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,313.15,0.8857
TETRAOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,303.15,0.8857
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,353.15,0.8858
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,308.15,0.885845
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,308.15,0.8859
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,308.15,0.88596
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,313.15,0.886
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,308.15,0.886
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,310.15,0.886
L-MENTHOL,LAURIC ACID,-,0.8,0.2,-,310.15,0.886
THYMOL,1-DECANOL,-,0.333,0.667,-,293.15,0.8864
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,318.15,0.8865
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,313.0,0.8867
THYMOL,PALMITIC ACID,-,0.8,0.2,-,368.15,0.8867
METHYLTRIOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,313.15,0.8869
THYMOL,DECANOIC ACID,-,0.5,0.5,-,353.15,0.8874
THYMOL,LAURIC ACID,-,0.55,0.45,-,353.15,0.8874
TETRAHEPTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,303.15,0.8875
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,293.15,0.887565
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.33,0.67,-,363.15,0.888
L-MENTHOL,HEPTANOIC ACID,-,0.333,0.667,-,333.15,0.888
L-MENTHOL,TETRADECANOIC ACID,-,0.8,0.2,-,303.15,0.8884
DECANOIC ACID,LAURIC ACID,-,0.333,0.667,-,303.15,0.8886
L-MENTHOL,OCTANOIC ACID,-,0.6,0.4,-,313.15,0.8887
TETRAOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,298.15,0.8889
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,308.15,0.889
OCTANOIC ACID,LAURIC ACID,-,0.75,0.25,-,313.15,0.889
L-MENTHOL,ACETIC ACID,-,0.5,0.5,-,348.15,0.889
THYMOL,1-DECANOL,-,0.667,0.333,-,333.15,0.889
THYMOL,1-TETRADECANOL,-,0.5,0.5,-,323.15,0.88914
OCTANOIC ACID,LAURIC ACID,-,0.25,0.75,-,313.15,0.8892
L-MENTHOL,DECANOIC ACID,-,0.6,0.4,-,308.15,0.8892
DECANOIC ACID,LAURIC ACID,-,0.667,0.333,-,303.15,0.889245
THYMOL,TETRADECANOIC ACID,-,0.75,0.25,-,363.15,0.8893
L-MENTHOL,LAURIC ACID,-,0.75,0.25,-,303.15,0.8894
L-MENTHOL,LAURIC ACID,-,0.667,0.333,-,303.15,0.88957
THYMOL,OCTANOIC ACID,-,0.421,0.579,-,348.15,0.8898
L-MENTHOL,OCTANOIC ACID,-,0.25,0.75,-,313.15,0.8899
METHYLTRIOCTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,308.15,0.89
NONANOIC ACID,LAURIC ACID,-,0.75,0.25,-,308.15,0.89
L-MENTHOL,L-LACTIC ACID,-,0.667,0.333,-,303.15,0.89
L-MENTHOL,HEXYLENE GLYCOL,-,0.667,0.333,-,313.15,0.89
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.5,0.5,-,323.15,0.89
L-MENTHOL,DECANOIC ACID,-,0.667,0.133,-,303.15,0.8902
L-MENTHOL,DECANOIC ACID,-,0.5,0.5,-,308.0,0.8904
THYMOL,PALMITIC ACID,-,0.8,0.2,-,363.15,0.8906
TETRAHEPTYLAMMONIUM CHLORIDE,DECANOIC ACID,-,0.333,0.667,-,298.15,0.8907
L-MENTHOL,OCTANOIC ACID,-,0.5,0.5,-,313.15,0.8907
L-MENTHOL,THYMOL,-,0.5,0.5,-,353.15,0.89093
METHYLTRIOCTYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.333,0.667,-,298.15,0.891
